county,confirmed_cases,total_tested,negative,deaths,lat,lon,date
Illinois,12262,62942,0,307,39.839888,-89.510168,2020-04-06
Chicago,5067,0,0,108,41.789896,-87.627734,2020-04-06
Adams,8,0,0,0,40.0578,-91.1353,2020-04-06
Alexander,0,0,0,0,37.167,-89.3606,2020-04-06
Bond,3,0,0,0,38.903,-89.4742,2020-04-06
Boone,4,0,0,0,42.3485,88.8263,2020-04-06
Brown,0,0,0,0,0.0,0.0,2020-04-06
Bureau,3,0,0,0,0.0,0.0,2020-04-06
Calhoun,1,0,0,0,0.0,0.0,2020-04-06
Carroll,4,0,0,1,42.0386,-89.9627,2020-04-06
Cass,0,0,0,0,0.0,0.0,2020-04-06
Champaign,62,0,0,0,0.0,0.0,2020-04-06
Christian,22,0,0,2,39.5672,-89.3227,2020-04-06
Clark,2,0,0,0,0.0,0.0,2020-04-06
Clay,0,0,0,0,0.0,0.0,2020-04-06
Clinton,11,0,0,0,0.0,0.0,2020-04-06
Coles,0,0,0,0,0.0,0.0,2020-04-06
Cook,3661,0,0,101,42.050784,-87.963759,2020-04-06
Crawford,5,0,0,0,0.0,0.0,2020-04-06
Cumberland,1,0,0,0,0.0,0.0,2020-04-06
DeKalb,22,0,0,1,41.833,-88.7109,2020-04-06
De Witt,3,0,0,0,0.0,0.0,2020-04-06
Douglas,10,0,0,0,0.0,0.0,2020-04-06
DuPage,715,0,0,22,41.8244,-88.0901,2020-04-06
Edgar,0,0,0,0,0.0,0.0,2020-04-06
Edwards,0,0,0,0,0.0,0.0,2020-04-06
Effingham,1,0,0,0,0.0,0.0,2020-04-06
Fayette,3,0,0,0,0.0,0.0,2020-04-06
Ford,1,0,0,0,0.0,0.0,2020-04-06
Franklin,2,0,0,0,0.0,0.0,2020-04-06
Fulton,0,0,0,0,0.0,0.0,2020-04-06
Gallatin,1,0,0,0,0.0,0.0,2020-04-06
Greene,0,0,0,0,0.0,0.0,2020-04-06
Grundy,9,0,0,0,0.0,0.0,2020-04-06
Hamilton,0,0,0,0,0.0,0.0,2020-04-06
Hancock,0,0,0,0,0.0,0.0,2020-04-06
Hardin,0,0,0,0,0.0,0.0,2020-04-06
Henderson,0,0,0,0,0.0,0.0,2020-04-06
Henry,10,0,0,0,0.0,0.0,2020-04-06
Iroquois,6,0,0,0,0.0,0.0,2020-04-06
Jackson,14,0,0,1,37.7218,-89.3227,2020-04-06
Jasper,4,0,0,0,0.0,0.0,2020-04-06
Jefferson,1,0,0,0,0.0,0.0,2020-04-06
Jersey,3,0,0,0,0.0,0.0,2020-04-06
Jo Daviess,6,0,0,0,0.0,0.0,2020-04-06
Johnson,0,0,0,0,0.0,0.0,2020-04-06
Kane,234,0,0,15,41.9879,-88.4016,2020-04-06
Kankakee,85,0,0,4,41.1791,-87.7763,2020-04-06
Kendall,55,0,0,2,41.5507,-88.4404,2020-04-06
Knox,1,0,0,0,0.0,0.0,2020-04-06
Lake,815,0,0,15,42.3689,-87.8272,2020-04-06
LaSalle,11,0,0,1,41.4364,-88.9414,2020-04-06
Lawrence,0,0,0,0,0.0,0.0,2020-04-06
Lee,2,0,0,0,0.0,0.0,2020-04-06
Livingston,9,0,0,0,0.0,0.0,2020-04-06
Logan,1,0,0,0,0.0,0.0,2020-04-06
McDonough,0,0,0,0,0.0,0.0,2020-04-06
McHenry,144,0,0,3,42.304,-88.4016,2020-04-06
McLean,46,0,0,2,40.5478,-88.8647,2020-04-06
Macon,9,0,0,0,0.0,0.0,2020-04-06
Macoupin,7,0,0,0,0.0,0.0,2020-04-06
Madison,52,0,0,0,0.0,0.0,2020-04-06
Marion,3,0,0,0,0.0,0.0,2020-04-06
Marshall,1,0,0,0,0.0,0.0,2020-04-06
Mason,1,0,0,0,0.0,0.0,2020-04-06
Massac,2,0,0,0,0.0,0.0,2020-04-06
Menard,2,0,0,0,0.0,0.0,2020-04-06
Mercer,2,0,0,0,0.0,0.0,2020-04-06
Monroe,11,0,0,0,0.0,0.0,2020-04-06
Montgomery,3,0,0,1,39.2364,-89.4742,2020-04-06
Morgan,7,0,0,1,39.7341,-90.2245,2020-04-06
