county,confirmed_cases,total_tested,negative,deaths,lat,lon,date
Illinois,13549,68732,0,380,39.839888,-89.510168,2020-04-07
Chicago,5506,0,0,135,41.789896,-87.627734,2020-04-07
Adams,9,0,0,0,40.0578,-91.1353,2020-04-07
Alexander,0,0,0,0,37.167,-89.3606,2020-04-07
Bond,3,0,0,0,38.903,-89.4742,2020-04-07
Boone,6,0,0,0,42.3485,88.8263,2020-04-07
Brown,0,0,0,0,0.0,0.0,2020-04-07
Bureau,4,0,0,0,0.0,0.0,2020-04-07
Calhoun,1,0,0,0,0.0,0.0,2020-04-07
Carroll,5,0,0,1,42.0386,-89.9627,2020-04-07
Cass,0,0,0,0,0.0,0.0,2020-04-07
Champaign,65,0,0,1,40.2139,-88.2461,2020-04-07
Christian,23,0,0,3,39.5672,-89.3227,2020-04-07
Clark,4,0,0,0,0.0,0.0,2020-04-07
Clay,0,0,0,0,0.0,0.0,2020-04-07
Clinton,11,0,0,0,0.0,0.0,2020-04-07
Coles,1,0,0,0,0.0,0.0,2020-04-07
Cook,4003,0,0,114,42.050784,-87.963759,2020-04-07
Crawford,4,0,0,0,0.0,0.0,2020-04-07
Cumberland,1,0,0,0,0.0,0.0,2020-04-07
DeKalb,26,0,0,1,41.833,-88.7109,2020-04-07
De Witt,2,0,0,0,0.0,0.0,2020-04-07
Douglas,10,0,0,0,0.0,0.0,2020-04-07
DuPage,795,0,0,26,41.8244,-88.0901,2020-04-07
Edgar,0,0,0,0,0.0,0.0,2020-04-07
Edwards,0,0,0,0,0.0,0.0,2020-04-07
Effingham,1,0,0,0,0.0,0.0,2020-04-07
Fayette,3,0,0,0,0.0,0.0,2020-04-07
Ford,5,0,0,1,40.4989,-88.2072,2020-04-07
Franklin,2,0,0,0,0.0,0.0,2020-04-07
Fulton,0,0,0,0,0.0,0.0,2020-04-07
Gallatin,1,0,0,0,0.0,0.0,2020-04-07
Greene,0,0,0,0,0.0,0.0,2020-04-07
Grundy,10,0,0,0,0.0,0.0,2020-04-07
Hamilton,0,0,0,0,0.0,0.0,2020-04-07
Hancock,0,0,0,0,0.0,0.0,2020-04-07
Hardin,0,0,0,0,0.0,0.0,2020-04-07
Henderson,0,0,0,0,0.0,0.0,2020-04-07
Henry,13,0,0,0,0.0,0.0,2020-04-07
Iroquois,7,0,0,0,0.0,0.0,2020-04-07
Jackson,20,0,0,1,37.7218,-89.3227,2020-04-07
Jasper,3,0,0,0,0.0,0.0,2020-04-07
Jefferson,3,0,0,0,0.0,0.0,2020-04-07
Jersey,4,0,0,0,0.0,0.0,2020-04-07
Jo Daviess,6,0,0,0,0.0,0.0,2020-04-07
Johnson,0,0,0,0,0.0,0.0,2020-04-07
Kane,255,0,0,18,41.9879,-88.4016,2020-04-07
Kankakee,107,0,0,5,41.1791,-87.7763,2020-04-07
Kendall,61,0,0,2,41.5507,-88.4404,2020-04-07
Knox,1,0,0,0,0.0,0.0,2020-04-07
Lake,923,0,0,20,42.3689,-87.8272,2020-04-07
LaSalle,12,0,0,1,41.4364,-88.9414,2020-04-07
Lawrence,2,0,0,0,0.0,0.0,2020-04-07
Lee,3,0,0,0,0.0,0.0,2020-04-07
