county,confirmed_cases,total_tested,negative,deaths,lat,lon,date
Illinois,15078,75066,0,462,39.839888,-89.510168,2020-04-08
Chicago,6092,0,0,177,41.789896,-87.627734,2020-04-08
Adams,1,0,0,0,40.0578,-91.1353,2020-04-08
Alexander,0,0,0,0,37.167,-89.3606,2020-04-08
Bond,3,0,0,0,38.903,-89.4742,2020-04-08
Boone,7,0,0,1,42.3485,88.8263,2020-04-08
Brown,0,0,0,0,0.0,0.0,2020-04-08
Bureau,4,0,0,0,0.0,0.0,2020-04-08
Calhoun,1,0,0,0,0.0,0.0,2020-04-08
Carroll,5,0,0,1,42.0386,-89.9627,2020-04-08
Cass,0,0,0,0,0.0,0.0,2020-04-08
Champaign,69,0,0,1,40.2139,-88.2461,2020-04-08
Christian,23,0,0,3,39.5672,-89.3227,2020-04-08
Clark,3,0,0,0,0.0,0.0,2020-04-08
Clay,0,0,0,0,0.0,0.0,2020-04-08
Clinton,13,0,0,0,0.0,0.0,2020-04-08
Coles,2,0,0,0,0.0,0.0,2020-04-08
Cook,4428,0,0,135,42.050784,-87.963759,2020-04-08
Crawford,4,0,0,0,0.0,0.0,2020-04-08
Cumberland,1,0,0,0,0.0,0.0,2020-04-08
DeKalb,32,0,0,1,41.833,-88.7109,2020-04-08
De Witt,2,0,0,0,0.0,0.0,2020-04-08
Douglas,10,0,0,0,0.0,0.0,2020-04-08
DuPage,875,0,0,30,41.8244,-88.0901,2020-04-08
Edgar,0,0,0,0,0.0,0.0,2020-04-08
Edwards,0,0,0,0,0.0,0.0,2020-04-08
Effingham,2,0,0,0,0.0,0.0,2020-04-08
Fayette,4,0,0,0,0.0,0.0,2020-04-08
Ford,3,0,0,1,40.4989,-88.2072,2020-04-08
Franklin,2,0,0,0,0.0,0.0,2020-04-08
Fulton,0,0,0,0,0.0,0.0,2020-04-08
Gallatin,1,0,0,0,0.0,0.0,2020-04-08
Greene,0,0,0,0,0.0,0.0,2020-04-08
Grundy,12,0,0,0,0.0,0.0,2020-04-08
Hamilton,0,0,0,0,0.0,0.0,2020-04-08
Hancock,1,0,0,0,0.0,0.0,2020-04-08
Hardin,0,0,0,0,0.0,0.0,2020-04-08
Henderson,0,0,0,0,0.0,0.0,2020-04-08
Henry,16,0,0,0,0.0,0.0,2020-04-08
Iroquois,7,0,0,0,0.0,0.0,2020-04-08
Jackson,22,0,0,1,37.7218,-89.3227,2020-04-08
Jasper,3,0,0,0,0.0,0.0,2020-04-08
Jefferson,2,0,0,0,0.0,0.0,2020-04-08
Jersey,5,0,0,0,0.0,0.0,2020-04-08
Jo Daviess,8,0,0,0,0.0,0.0,2020-04-08
Johnson,0,0,0,0,0.0,0.0,2020-04-08
Kane,296,0,0,19,41.9879,-88.4016,2020-04-08
Kankakee,145,0,0,5,41.1791,-87.7763,2020-04-08
Kendall,79,0,0,2,41.5507,-88.4404,2020-04-08
Knox,1,0,0,0,0.0,0.0,2020-04-08
Lake,1041,0,0,23,42.3689,-87.8272,2020-04-08
LaSalle,17,0,0,1,41.4364,-88.9414,2020-04-08
Lawrence,2,0,0,0,0.0,0.0,2020-04-08
Lee,6,0,0,0,0.0,0.0,2020-04-08
Livingston,10,0,0,0,0.0,0.0,2020-04-08
Logan,3,0,0,0,0.0,0.0,2020-04-08
McDonough,0,0,0,0,0.0,0.0,2020-04-08
McHenry,180,0,0,5,42.304,-88.4016,2020-04-08
McLean,65,0,0,2,40.5478,-88.8647,2020-04-08
Macon,13,0,0,1,39.8949,-89.0179,2020-04-08
Macoupin,10,0,0,0,0.0,0.0,2020-04-08
Madison,82,0,0,2,38.9041,89.9253,2020-04-08
Marion,4,0,0,0,0.0,0.0,2020-04-08
Marshall,1,0,0,0,0.0,0.0,2020-04-08
Mason,3,0,0,0,0.0,0.0,2020-04-08
Massac,2,0,0,0,0.0,0.0,2020-04-08
Menard,2,0,0,0,0.0,0.0,2020-04-08
Mercer,2,0,0,0,0.0,0.0,2020-04-08
Monroe,20,0,0,1,38.2743,-90.187,2020-04-08
Montgomery,4,0,0,1,39.2364,-89.4742,2020-04-08
Morgan,8,0,0,1,39.7341,-90.2245,2020-04-08
Moultrie,2,0,0,0,0.0,0.0,2020-04-08
Ogle,12,0,0,0,0.0,0.0,2020-04-08
Peoria,16,0,0,1,40.7156,-89.7755,2020-04-08
Perry,0,0,0,0,0.0,0.0,2020-04-08
Piatt,4,0,0,0,0.0,0.0,2020-04-08
Pike,1,0,0,0,0.0,0.0,2020-04-08
Pope,0,0,0,0,0.0,0.0,2020-04-08
Pulaski,0,0,0,0,0.0,0.0,2020-04-08
Putnam,0,0,0,0,0.0,0.0,2020-04-08
Randolph,31,0,0,0,0.0,0.0,2020-04-08
Richland,1,0,0,0,0.0,0.0,2020-04-08
Rock Island,67,0,0,0,0.0,0.0,2020-04-08
St. Clair,127,0,0,3,38.4008,-89.9253,2020-04-08
Saline,2,0,0,0,0.0,0.0,2020-04-08
Sangamon,33,0,0,2,39.7337,-89.6252,2020-04-08
Schuyler,0,0,0,0,0.0,0.0,2020-04-08
Scott,0,0,0,0,0.0,0.0,2020-04-08
Shelby,3,0,0,0,0.0,0.0,2020-04-08
Stark,1,0,0,0,0.0,0.0,2020-04-08
Stephenson,6,0,0,0,0.0,0.0,2020-04-08
Tazewell,17,0,0,2,40.5522,-89.4742,2020-04-08
Unassigned,64,0,0,1,39.839888,-89.510168,2020-04-08
Union,0,0,0,0,0.0,0.0,2020-04-08
Vermilion,5,0,0,0,0.0,0.0,2020-04-08
Wabash,1,0,0,0,0.0,0.0,2020-04-08
Warren,0,0,0,0,0.0,0.0,2020-04-08
Washington,2,0,0,0,0.0,0.0,2020-04-08
Wayne,0,0,0,0,0.0,0.0,2020-04-08
White,0,0,0,0,0.0,0.0,2020-04-08
Whiteside,21,0,0,1,41.7606,-89.8505,2020-04-08
Will,914,0,0,35,41.5055,-88.0901,2020-04-08
Williamson,9,0,0,0,0.0,0.0,2020-04-08
Winnebago,63,0,0,3,42.3121,-89.1706,2020-04-08
Woodford,7,0,0,0,0.0,0.0,2020-04-08
