county,confirmed_cases,total_tested,negative,deaths,lat,lon,date
Illinois,3026,21542,0,34,39.839888,-89.510168,2020-03-27
Chicago,1364,0,0,9,41.8781,-87.6298,2020-03-27
Suburban Cook,0,0,0,0,0.0,0.0,2020-03-27
Adams,1,0,0,0,40.0578,-91.1353,2020-03-27
Alexander,0,0,0,0,37.167,-89.3606,2020-03-27
Bond,0,0,0,0,38.903,-89.4742,2020-03-27
Boone,0,0,0,0,42.3485,88.8263,2020-03-27
Brown,0,0,0,0,0.0,0.0,2020-03-27
Bureau,1,0,0,0,0.0,0.0,2020-03-27
Calhoun,0,0,0,0,0.0,0.0,2020-03-27
Carroll,0,0,0,0,0.0,0.0,2020-03-27
Cass,0,0,0,0,0.0,0.0,2020-03-27
Champaign,10,0,0,0,0.0,0.0,2020-03-27
Christian,1,0,0,0,0.0,0.0,2020-03-27
Clark,0,0,0,0,0.0,0.0,2020-03-27
Clay,0,0,0,0,0.0,0.0,2020-03-27
Clinton,5,0,0,0,0.0,0.0,2020-03-27
Coles,0,0,0,0,0.0,0.0,2020-03-27
Cook,875,0,0,11,42.050784,-87.963759,2020-03-27
Crawford,0,0,0,0,0.0,0.0,2020-03-27
Cumberland,1,0,0,0,0.0,0.0,2020-03-27
DeKalb,4,0,0,0,0.0,0.0,2020-03-27
De Witt,0,0,0,0,0.0,0.0,2020-03-27
Douglas,1,0,0,0,0.0,0.0,2020-03-27
DuPage,199,0,0,6,41.8244,-88.0901,2020-03-27
Edgar,0,0,0,0,0.0,0.0,2020-03-27
Edwards,0,0,0,0,0.0,0.0,2020-03-27
Effingham,0,0,0,0,0.0,0.0,2020-03-27
Fayette,0,0,0,0,0.0,0.0,2020-03-27
Ford,0,0,0,0,0.0,0.0,2020-03-27
Franklin,1,0,0,0,0.0,0.0,2020-03-27
Fulton,0,0,0,0,0.0,0.0,2020-03-27
Gallatin,0,0,0,0,0.0,0.0,2020-03-27
Greene,0,0,0,0,0.0,0.0,2020-03-27
Grundy,2,0,0,0,0.0,0.0,2020-03-27
Hamilton,0,0,0,0,0.0,0.0,2020-03-27
Hancock,0,0,0,0,0.0,0.0,2020-03-27
Hardin,0,0,0,0,0.0,0.0,2020-03-27
Henderson,0,0,0,0,0.0,0.0,2020-03-27
Henry,1,0,0,0,0.0,0.0,2020-03-27
Iroquois,1,0,0,0,0.0,0.0,2020-03-27
Jackson,1,0,0,0,0.0,0.0,2020-03-27
Jasper,0,0,0,0,0.0,0.0,2020-03-27
Jefferson,0,0,0,0,0.0,0.0,2020-03-27
Jersey,0,0,0,0,0.0,0.0,2020-03-27
Jo Daviess,1,0,0,0,0.0,0.0,2020-03-27
Johnson,0,0,0,0,0.0,0.0,2020-03-27
Kane,75,0,0,2,41.9879,-88.4016,2020-03-27
Kankakee,17,0,0,0,0.0,0.0,2020-03-27
Kendall,8,0,0,0,0.0,0.0,2020-03-27
Knox,0,0,0,0,0.0,0.0,2020-03-27
Lake,230,0,0,0,0.0,0.0,2020-03-27
LaSalle,3,0,0,0,0.0,0.0,2020-03-27
Lawrence,0,0,0,0,0.0,0.0,2020-03-27
Lee,0,0,0,0,0.0,0.0,2020-03-27
Livingston,2,0,0,0,0.0,0.0,2020-03-27
Logan,0,0,0,0,0.0,0.0,2020-03-27
McDonough,0,0,0,0,0.0,0.0,2020-03-27
McHenry,45,0,0,1,42.304,-88.4016,2020-03-27
McLean,10,0,0,1,40.5478,-88.8647,2020-03-27
Macon,0,0,0,0,0.0,0.0,2020-03-27
Macoupin,0,0,0,0,0.0,0.0,2020-03-27
Madison,8,0,0,0,0.0,0.0,2020-03-27
Marion,0,0,0,0,0.0,0.0,2020-03-27
Marshall,1,0,0,0,0.0,0.0,2020-03-27
Mason,0,0,0,0,0.0,0.0,2020-03-27
Massac,0,0,0,0,0.0,0.0,2020-03-27
Menard,0,0,0,0,0.0,0.0,2020-03-27
Mercer,0,0,0,0,0.0,0.0,2020-03-27
Monroe,3,0,0,0,0.0,0.0,2020-03-27
Montgomery,0,0,0,0,0.0,0.0,2020-03-27
Morgan,1,0,0,0,0.0,0.0,2020-03-27
Moultrie,0,0,0,0,0.0,0.0,2020-03-27
Ogle,0,0,0,0,0.0,0.0,2020-03-27
Peoria,6,0,0,0,0.0,0.0,2020-03-27
Perry,0,0,0,0,0.0,0.0,2020-03-27
Piatt,0,0,0,0,0.0,0.0,2020-03-27
Pike,0,0,0,0,0.0,0.0,2020-03-27
Pope,0,0,0,0,0.0,0.0,2020-03-27
Pulaski,0,0,0,0,0.0,0.0,2020-03-27
Putnam,0,0,0,0,0.0,0.0,2020-03-27
Randolph,0,0,0,0,0.0,0.0,2020-03-27
Richland,0,0,0,0,0.0,0.0,2020-03-27
Rock Island,4,0,0,0,0.0,0.0,2020-03-27
St. Clair,15,0,0,0,0.0,0.0,2020-03-27
Saline,0,0,0,0,0.0,0.0,2020-03-27
Sangamon,7,0,0,1,39.7337,-89.6252,2020-03-27
Schuyler,0,0,0,0,0.0,0.0,2020-03-27
Scott,0,0,0,0,0.0,0.0,2020-03-27
Shelby,0,0,0,0,0.0,0.0,2020-03-27
Stark,0,0,0,0,0.0,0.0,2020-03-27
Stephenson,2,0,0,0,0.0,0.0,2020-03-27
Tazewell,2,0,0,0,0.0,0.0,2020-03-27
Union,0,0,0,0,0.0,0.0,2020-03-27
Vermilion,0,0,0,0,0.0,0.0,2020-03-27
Wabash,0,0,0,0,0.0,0.0,2020-03-27
Warren,0,0,0,0,0.0,0.0,2020-03-27
Washington,1,0,0,0,0.0,0.0,2020-03-27
Wayne,0,0,0,0,0.0,0.0,2020-03-27
White,0,0,0,0,0.0,0.0,2020-03-27
Whiteside,2,0,0,0,0.0,0.0,2020-03-27
Will,104,0,0,3,41.5055,-88.0901,2020-03-27
Williamson,1,0,0,0,0.0,0.0,2020-03-27
Winnebago,8,0,0,0,0.0,0.0,2020-03-27
Woodford,3,0,0,0,0.0,0.0,2020-03-27
