county,confirmed_cases,total_tested,negative,deaths,lat,lon,date
Illinois,11256,58983,0,274,39.839888,-89.510168,2020-04-05
Chicago,4614,0,0,90,41.789896,-87.627734,2020-04-05
Suburban Cook,0,0,0,0,0.0,0.0,2020-04-05
Adams,3,0,0,0,40.0578,-91.1353,2020-04-05
Alexander,0,0,0,0,37.167,-89.3606,2020-04-05
Bond,3,0,0,0,38.903,-89.4742,2020-04-05
Boone,3,0,0,0,42.3485,88.8263,2020-04-05
Brown,0,0,0,0,0.0,0.0,2020-04-05
Bureau,3,0,0,0,0.0,0.0,2020-04-05
Calhoun,1,0,0,0,0.0,0.0,2020-04-05
Carroll,4,0,0,1,42.0386,-89.9627,2020-04-05
Cass,0,0,0,0,0.0,0.0,2020-04-05
Champaign,54,0,0,0,0.0,0.0,2020-04-05
Christian,20,0,0,2,39.5672,-89.3227,2020-04-05
Clark,2,0,0,0,0.0,0.0,2020-04-05
Clay,0,0,0,0,0.0,0.0,2020-04-05
Clinton,10,0,0,0,0.0,0.0,2020-04-05
Coles,0,0,0,0,0.0,0.0,2020-04-05
Cook,3420,0,0,96,42.050784,-87.963759,2020-04-05
Crawford,3,0,0,0,0.0,0.0,2020-04-05
Cumberland,1,0,0,0,0.0,0.0,2020-04-05
DeKalb,22,0,0,0,0.0,0.0,2020-04-05
De Witt,2,0,0,0,0.0,0.0,2020-04-05
Douglas,9,0,0,0,0.0,0.0,2020-04-05
DuPage,656,0,0,22,41.8244,-88.0901,2020-04-05
Edgar,0,0,0,0,0.0,0.0,2020-04-05
Edwards,0,0,0,0,0.0,0.0,2020-04-05
Effingham,1,0,0,0,0.0,0.0,2020-04-05
Fayette,2,0,0,0,0.0,0.0,2020-04-05
Ford,1,0,0,0,0.0,0.0,2020-04-05
Franklin,1,0,0,0,0.0,0.0,2020-04-05
Fulton,0,0,0,0,0.0,0.0,2020-04-05
Gallatin,1,0,0,0,0.0,0.0,2020-04-05
Greene,0,0,0,0,0.0,0.0,2020-04-05
Grundy,9,0,0,0,0.0,0.0,2020-04-05
Hamilton,0,0,0,0,0.0,0.0,2020-04-05
Hancock,0,0,0,0,0.0,0.0,2020-04-05
Hardin,0,0,0,0,0.0,0.0,2020-04-05
Henderson,0,0,0,0,0.0,0.0,2020-04-05
Henry,8,0,0,0,0.0,0.0,2020-04-05
Iroquois,5,0,0,0,0.0,0.0,2020-04-05
Jackson,12,0,0,1,37.7218,-89.3227,2020-04-05
Jasper,3,0,0,0,0.0,0.0,2020-04-05
Jefferson,0,0,0,0,0.0,0.0,2020-04-05
Jersey,2,0,0,0,0.0,0.0,2020-04-05
Jo Daviess,5,0,0,0,0.0,0.0,2020-04-05
Johnson,0,0,0,0,0.0,0.0,2020-04-05
Kane,220,0,0,15,41.9879,-88.4016,2020-04-05
Kankakee,76,0,0,4,41.1791,-87.7763,2020-04-05
Kendall,49,0,0,2,41.5507,-88.4404,2020-04-05
Knox,1,0,0,0,0.0,0.0,2020-04-05
Lake,742,0,0,13,42.3689,-87.8272,2020-04-05
LaSalle,8,0,0,1,41.4364,-88.9414,2020-04-05
Lawrence,0,0,0,0,0.0,0.0,2020-04-05
Lee,2,0,0,0,0.0,0.0,2020-04-05
Livingston,7,0,0,0,0.0,0.0,2020-04-05
Logan,1,0,0,0,0.0,0.0,2020-04-05
McDonough,0,0,0,0,0.0,0.0,2020-04-05
McHenry,133,0,0,3,42.304,-88.4016,2020-04-05
McLean,46,0,0,2,40.5478,-88.8647,2020-04-05
Macon,6,0,0,0,0.0,0.0,2020-04-05
Macoupin,5,0,0,0,0.0,0.0,2020-04-05
Madison,48,0,0,0,0.0,0.0,2020-04-05
Marion,3,0,0,0,0.0,0.0,2020-04-05
Marshall,1,0,0,0,0.0,0.0,2020-04-05
Mason,1,0,0,0,0.0,0.0,2020-04-05
Massac,2,0,0,0,0.0,0.0,2020-04-05
Menard,1,0,0,0,0.0,0.0,2020-04-05
Mercer,2,0,0,0,0.0,0.0,2020-04-05
Monroe,10,0,0,0,0.0,0.0,2020-04-05
Montgomery,3,0,0,1,39.2364,-89.4742,2020-04-05
Morgan,6,0,0,1,39.7341,-90.2245,2020-04-05
Moultrie,1,0,0,0,0.0,0.0,2020-04-05
Ogle,5,0,0,0,0.0,0.0,2020-04-05
Peoria,14,0,0,1,40.7156,-89.7755,2020-04-05
Perry,0,0,0,0,0.0,0.0,2020-04-05
Piatt,1,0,0,0,0.0,0.0,2020-04-05
Pike,1,0,0,0,0.0,0.0,2020-04-05
Pope,0,0,0,0,0.0,0.0,2020-04-05
Pulaski,0,0,0,0,0.0,0.0,2020-04-05
Putnam,0,0,0,0,0.0,0.0,2020-04-05
Randolph,24,0,0,0,0.0,0.0,2020-04-05
Richland,0,0,0,0,0.0,0.0,2020-04-05
Rock Island,40,0,0,0,0.0,0.0,2020-04-05
St. Clair,86,0,0,2,38.4008,-89.9253,2020-04-05
Saline,1,0,0,0,0.0,0.0,2020-04-05
Sangamon,29,0,0,2,39.7337,-89.6252,2020-04-05
Schuyler,0,0,0,0,0.0,0.0,2020-04-05
Scott,0,0,0,0,0.0,0.0,2020-04-05
Shelby,0,0,0,0,0.0,0.0,2020-04-05
Stark,0,0,0,0,0.0,0.0,2020-04-05
Stephenson,3,0,0,0,0.0,0.0,2020-04-05
Tazewell,13,0,0,0,0.0,0.0,2020-04-05
Unassigned,62,0,0,1,39.839888,-89.510168,2020-04-05
Union,0,0,0,0,0.0,0.0,2020-04-05
Vermilion,5,0,0,0,0.0,0.0,2020-04-05
Wabash,0,0,0,0,0.0,0.0,2020-04-05
Warren,0,0,0,0,0.0,0.0,2020-04-05
Washington,1,0,0,0,0.0,0.0,2020-04-05
Wayne,0,0,0,0,0.0,0.0,2020-04-05
White,0,0,0,0,0.0,0.0,2020-04-05
Whiteside,18,0,0,1,41.7606,-89.8505,2020-04-05
Will,648,0,0,12,41.5055,-88.0901,2020-04-05
Williamson,3,0,0,0,0.0,0.0,2020-04-05
Winnebago,42,0,0,1,42.3121,-89.1706,2020-04-05
Woodford,6,0,0,0,0.0,0.0,2020-04-05
