county,confirmed_cases,total_tested,negative,deaths,lat,lon,date
Illinois,5057,30446,0,73,39.839888,-89.510168,2020-03-30
Chicago,2198,0,0,16,41.8781,-87.6298,2020-03-30
Suburban Cook,0,0,0,0,0.0,0.0,2020-03-30
Adams,2,0,0,0,40.0578,-91.1353,2020-03-30
Alexander,0,0,0,0,37.167,-89.3606,2020-03-30
Bond,1,0,0,0,38.903,-89.4742,2020-03-30
Boone,0,0,0,0,42.3485,88.8263,2020-03-30
Brown,0,0,0,0,0.0,0.0,2020-03-30
Bureau,1,0,0,0,0.0,0.0,2020-03-30
Calhoun,0,0,0,0,0.0,0.0,2020-03-30
Carroll,1,0,0,0,0.0,0.0,2020-03-30
Cass,0,0,0,0,0.0,0.0,2020-03-30
Champaign,23,0,0,0,0.0,0.0,2020-03-30
Christian,12,0,0,0,0.0,0.0,2020-03-30
Clark,1,0,0,0,0.0,0.0,2020-03-30
Clay,0,0,0,0,0.0,0.0,2020-03-30
Clinton,6,0,0,0,0.0,0.0,2020-03-30
Coles,0,0,0,0,0.0,0.0,2020-03-30
Cook,1529,0,0,28,42.050784,-87.963759,2020-03-30
Crawford,1,0,0,0,0.0,0.0,2020-03-30
Cumberland,1,0,0,0,0.0,0.0,2020-03-30
DeKalb,8,0,0,0,0.0,0.0,2020-03-30
De Witt,0,0,0,0,0.0,0.0,2020-03-30
Douglas,1,0,0,0,0.0,0.0,2020-03-30
DuPage,320,0,0,8,41.8244,-88.0901,2020-03-30
Edgar,0,0,0,0,0.0,0.0,2020-03-30
Edwards,0,0,0,0,0.0,0.0,2020-03-30
Effingham,0,0,0,0,0.0,0.0,2020-03-30
Fayette,1,0,0,0,0.0,0.0,2020-03-30
Ford,0,0,0,0,0.0,0.0,2020-03-30
Franklin,1,0,0,0,0.0,0.0,2020-03-30
Fulton,0,0,0,0,0.0,0.0,2020-03-30
Gallatin,0,0,0,0,0.0,0.0,2020-03-30
Greene,0,0,0,0,0.0,0.0,2020-03-30
Grundy,3,0,0,0,0.0,0.0,2020-03-30
Hamilton,0,0,0,0,0.0,0.0,2020-03-30
Hancock,0,0,0,0,0.0,0.0,2020-03-30
Hardin,0,0,0,0,0.0,0.0,2020-03-30
Henderson,0,0,0,0,0.0,0.0,2020-03-30
Henry,2,0,0,0,0.0,0.0,2020-03-30
Iroquois,2,0,0,0,0.0,0.0,2020-03-30
Jackson,3,0,0,0,0.0,0.0,2020-03-30
Jasper,0,0,0,0,0.0,0.0,2020-03-30
Jefferson,0,0,0,0,0.0,0.0,2020-03-30
Jersey,0,0,0,0,0.0,0.0,2020-03-30
Jo Daviess,1,0,0,0,0.0,0.0,2020-03-30
Johnson,0,0,0,0,0.0,0.0,2020-03-30
Kane,113,0,0,6,41.9879,-88.4016,2020-03-30
Kankakee,33,0,0,0,0.0,0.0,2020-03-30
Kendall,18,0,0,2,41.5507,-88.4404,2020-03-30
Knox,1,0,0,0,0.0,0.0,2020-03-30
Lake,343,0,0,1,42.3689,-87.8272,2020-03-30
